D,L,R,Clocks,ClocksPerAccess
1,384,3065,217168,7.0854159869
1,1152,9209,653326,7.0944293626
1,10240,81913,5820506,7.1057170413
1,15360,122873,8791728,7.1551341629
1,40960,327673,23343396,7.1239912962
1,81920,655353,46761686,7.1353432425
1,163840,1310713,93313886,7.1193225367
8,384,384,27562,7.1776041667
8,1152,1152,83032,7.2076388889
8,10240,10240,738974,7.2165429687
8,15360,15360,1115560,7.2627604167
8,40960,40960,3082090,7.5246337891
8,81920,81920,5999812,7.3239892578
8,163840,163840,11974442,7.3086193848
32,384,384,28204,7.3447916667
32,1152,1152,83188,7.2211805556
32,10240,10240,911298,8.8993945312
32,15360,15360,1264864,8.2347916667
32,40960,40960,3440568,8.3998242188
32,81920,81920,8521262,10.4019311523
32,163840,163840,28054188,17.1229174805
128,384,384,28436,7.4052083333
128,1152,1152,89414,7.7616319444
128,10240,10240,923840,9.0218750000
128,15360,15360,1259106,8.1973046875
128,40960,40960,7140628,17.4331738281
128,81920,81920,15374918,18.7682104492
128,163840,163840,31127078,18.9984606934
1024,384,384,79356,20.6656250000
1024,1152,1152,114446,9.9345486111
1024,10240,10240,2539126,24.7961523437
1024,15360,15360,3843946,25.0256901042
1024,40960,40960,10473824,25.5708593750
1024,81920,81920,20898386,25.5107250977
1024,163840,163840,42108322,25.7008801270
1,384,3065,217180,7.0858075041
1,1152,9209,662768,7.1969594961
1,10240,81913,5840578,7.1302210882
1,15360,122873,8739742,7.1128254376
1,40960,327673,23357164,7.1281930461
1,81920,655353,46722590,7.1293776026
1,163840,1310713,93400436,7.1259258129
8,384,384,27550,7.1744791667
8,1152,1152,83040,7.2083333333
8,10240,10240,736638,7.1937304688
8,15360,15360,1139470,7.4184244792
8,40960,40960,3061664,7.4747656250
8,81920,81920,5986630,7.3078979492
8,163840,163840,11998072,7.3230419922
32,384,384,28100,7.3177083333
32,1152,1152,83610,7.2578125000
32,10240,10240,852214,8.3224023437
32,15360,15360,1287686,8.3833723958
32,40960,40960,3734278,9.1168896484
32,81920,81920,8075296,9.8575390625
32,163840,163840,28040142,17.1143444824
128,384,384,28658,7.4630208333
128,1152,1152,104600,9.0798611111
128,10240,10240,907272,8.8600781250
128,15360,15360,1259832,8.2020312500
128,40960,40960,7420598,18.1166943359
128,81920,81920,15854910,19.3541381836
128,163840,163840,31911176,19.4770361328
1024,384,384,86146,22.4338541667
1024,1152,1152,112522,9.7675347222
1024,10240,10240,2425482,23.6863476562
1024,15360,15360,3795232,24.7085416667
1024,40960,40960,10485544,25.5994726563
1024,81920,81920,20829088,25.4261328125
1024,163840,163840,42115592,25.7053173828
1,384,3065,217324,7.0905057096
1,1152,9209,652776,7.0884569443
1,10240,81913,5815582,7.0997057854
1,15360,122873,8751542,7.1224288493
1,40960,327673,23427892,7.1497779799
1,81920,655353,46833762,7.1463412848
1,163840,1310713,93402848,7.1261098349
8,384,384,27504,7.1625000000
8,1152,1152,83148,7.2177083333
8,10240,10240,743482,7.2605664062
8,15360,15360,1128896,7.3495833333
8,40960,40960,3016212,7.3637988281
8,81920,81920,5999646,7.3237866211
8,163840,163840,11972246,7.3072790527
32,384,384,27922,7.2713541667
32,1152,1152,83310,7.2317708333
32,10240,10240,827100,8.0771484375
32,15360,15360,1267318,8.2507682292
32,40960,40960,3451100,8.4255371094
32,81920,81920,8205562,10.0165551758
32,163840,163840,27951854,17.0604577637
128,384,384,28460,7.4114583333
128,1152,1152,91800,7.9687500000
128,10240,10240,894142,8.7318554688
128,15360,15360,1281728,8.3445833333
128,40960,40960,7482312,18.2673632812
128,81920,81920,16057244,19.6011279297
128,163840,163840,31943892,19.4970043945
1024,384,384,36624,9.5375000000
1024,1152,1152,112720,9.7847222222
1024,10240,10240,2465002,24.0722851563
1024,15360,15360,3808872,24.7973437500
1024,40960,40960,10534536,25.7190820313
1024,81920,81920,20854688,25.4573828125
1024,163840,163840,42041120,25.6598632813
1,384,3065,245742,8.0176835237
1,1152,9209,652484,7.0852861331
1,10240,81913,5815768,7.0999328556
1,15360,122873,8741688,7.1144091867
1,40960,327673,23443532,7.1545510311
1,81920,655353,46699938,7.1259211448
1,163840,1310713,93434702,7.1285401152
8,384,384,27478,7.1557291667
8,1152,1152,83274,7.2286458333
8,10240,10240,742968,7.2555468750
8,15360,15360,1118878,7.2843619792
8,40960,40960,3021498,7.3767041016
8,81920,81920,6100018,7.4463110352
8,163840,163840,11985066,7.3151037598
32,384,384,27988,7.2885416667
32,1152,1152,83762,7.2710069444
32,10240,10240,858888,8.3875781250
32,15360,15360,1380386,8.9868880208
32,40960,40960,3388096,8.2717187500
32,81920,81920,8447744,10.3121875000
32,163840,163840,28120032,17.1631054688
128,384,384,28136,7.3270833333
128,1152,1152,89684,7.7850694444
128,10240,10240,956928,9.3450000000
128,15360,15360,1266638,8.2463411458
128,40960,40960,7231258,17.6544384766
128,81920,81920,15640164,19.0919970703
128,163840,163840,31348960,19.1338867187
1024,384,384,35368,9.2104166667
1024,1152,1152,117828,10.2281250000
1024,10240,10240,2453516,23.9601171875
1024,15360,15360,3828558,24.9255078125
1024,40960,40960,10523700,25.6926269531
1024,81920,81920,20797670,25.3877807617
1024,163840,163840,42243516,25.7833959961
1,384,3065,217100,7.0831973899
1,1152,9209,660110,7.1680964274
1,10240,81913,5818388,7.1031313711
1,15360,122873,8757348,7.1271540534
1,40960,327673,23457566,7.1588339595
1,81920,655353,46950846,7.1642070762
1,163840,1310713,93404018,7.1261990993
8,384,384,27574,7.1807291667
8,1152,1152,83218,7.2237847222
8,10240,10240,742352,7.2495312500
8,15360,15360,1130886,7.3625390625
8,40960,40960,3040658,7.4234814453
8,81920,81920,6008394,7.3344653320
8,163840,163840,11982342,7.3134411621
32,384,384,28110,7.3203125000
32,1152,1152,83634,7.2598958333
32,10240,10240,871800,8.5136718750
32,15360,15360,1277872,8.3194791667
32,40960,40960,3457470,8.4410888672
32,81920,81920,8256304,10.0784960937
32,163840,163840,27977246,17.0759558105
128,384,384,28464,7.4125000000
128,1152,1152,88558,7.6873263889
128,10240,10240,900800,8.7968750000
128,15360,15360,1451362,9.4489713542
128,40960,40960,7158906,17.4777978516
128,81920,81920,15194090,18.5474731445
128,163840,163840,31273130,19.0876037598
1024,384,384,37518,9.7703125000
1024,1152,1152,111402,9.6703125000
1024,10240,10240,2509238,24.5042773438
1024,15360,15360,3844866,25.0316796875
1024,40960,40960,10527374,25.7015966797
1024,81920,81920,20699246,25.2676342773
1024,163840,163840,42126222,25.7118054199
1,384,3065,217166,7.0853507341
1,1152,9209,687766,7.4684113367
1,10240,81913,5810470,7.0934650178
1,15360,122873,8747932,7.1194908564
1,40960,327673,23354066,7.1272475913
1,81920,655353,46750886,7.1336952757
1,163840,1310713,93565898,7.1385496291
8,384,384,27488,7.1583333333
8,1152,1152,83262,7.2276041667
8,10240,10240,737014,7.1974023438
8,15360,15360,1133550,7.3798828125
8,40960,40960,3009186,7.3466455078
8,81920,81920,6029536,7.3602734375
8,163840,163840,12001368,7.3250537109
32,384,384,27986,7.2880208333
32,1152,1152,83136,7.2166666667
32,10240,10240,845298,8.2548632812
32,15360,15360,1364304,8.8821875000
32,40960,40960,3674560,8.9710937500
32,81920,81920,8187948,9.9950537109
32,163840,163840,28068482,17.1316418457
128,384,384,29056,7.5666666667
128,1152,1152,89530,7.7717013889
128,10240,10240,932214,9.1036523437
128,15360,15360,1308272,8.5173958333
128,40960,40960,7330894,17.8976904297
128,81920,81920,15594812,19.0366357422
128,163840,163840,31520042,19.2383068848
1024,384,384,35986,9.3713541667
1024,1152,1152,108378,9.4078125000
1024,10240,10240,2469842,24.1195507812
1024,15360,15360,3816996,24.8502343750
1024,40960,40960,10527658,25.7022900391
1024,81920,81920,20997298,25.6314672852
1024,163840,163840,42375374,25.8638757324
1,384,3065,217184,7.0859380098
1,1152,9209,652682,7.0874362037
1,10240,81913,5838484,7.1276647174
1,15360,122873,8741582,7.1143229188
1,40960,327673,23467898,7.1619871030
1,81920,655353,46735362,7.1313264760
1,163840,1310713,93476644,7.1317400529
8,384,384,27452,7.1489583333
8,1152,1152,83172,7.2197916667
8,10240,10240,750716,7.3312109375
8,15360,15360,1117332,7.2742968750
8,40960,40960,3016350,7.3641357422
8,81920,81920,6005888,7.3314062500
8,163840,163840,12012970,7.3321350098
32,384,384,27948,7.2781250000
32,1152,1152,82950,7.2005208333
32,10240,10240,847322,8.2746289062
32,15360,15360,1429764,9.3083593750
32,40960,40960,3323510,8.1140380859
32,81920,81920,8722626,10.6477368164
32,163840,163840,27950968,17.0599169922
128,384,384,28330,7.3776041667
128,1152,1152,92910,8.0651041667
128,10240,10240,909386,8.8807226563
128,15360,15360,1579700,10.2845052083
128,40960,40960,7321066,17.8736962891
128,81920,81920,15565088,19.0003515625
128,163840,163840,31089904,18.9757714844
1024,384,384,37280,9.7083333333
1024,1152,1152,111546,9.6828125000
1024,10240,10240,2461010,24.0333007812
1024,15360,15360,3848038,25.0523307292
1024,40960,40960,10529274,25.7062353516
1024,81920,81920,21037332,25.6803369141
1024,163840,163840,42478560,25.9268554687
1,384,3065,217090,7.0828711256
1,1152,9209,652702,7.0876533826
1,10240,81913,5874502,7.1716357599
1,15360,122873,8759316,7.1287557071
1,40960,327673,23372806,7.1329667077
1,81920,655353,46709162,7.1273286305
1,163840,1310713,93348450,7.1219595747
8,384,384,27496,7.1604166667
8,1152,1152,83262,7.2276041667
8,10240,10240,742636,7.2523046875
8,15360,15360,1130058,7.3571484375
8,40960,40960,3039308,7.4201855469
8,81920,81920,5989630,7.3115600586
8,163840,163840,11963830,7.3021423340
32,384,384,28002,7.2921875000
32,1152,1152,83076,7.2114583333
32,10240,10240,854182,8.3416210937
32,15360,15360,1340782,8.7290494792
32,40960,40960,3344524,8.1653417969
32,81920,81920,10527002,12.8503442383
32,163840,163840,28019112,17.1015087891
128,384,384,28354,7.3838541667
128,1152,1152,90298,7.8383680556
128,10240,10240,916470,8.9499023438
128,15360,15360,1277740,8.3186197917
128,40960,40960,7761326,18.9485498047
128,81920,81920,15332118,18.7159643555
128,163840,163840,31579508,19.2746020508
1024,384,384,37938,9.8796875000
1024,1152,1152,116188,10.0857638889
1024,10240,10240,2521942,24.6283398437
1024,15360,15360,3850604,25.0690364583
1024,40960,40960,10475230,25.5742919922
1024,81920,81920,21116188,25.7765966797
1024,163840,163840,42455766,25.9129431152
1,384,3065,217142,7.0845676998
1,1152,9209,653656,7.0980128136
1,10240,81913,5817440,7.1019740456
1,15360,122873,8765924,7.1341336176
1,40960,327673,23431612,7.1509132580
1,81920,655353,46691028,7.1245615722
1,163840,1310713,93331540,7.1206694372
8,384,384,27466,7.1526041667
8,1152,1152,83228,7.2246527778
8,10240,10240,737884,7.2058984375
8,15360,15360,1132174,7.3709244792
8,40960,40960,3024058,7.3829541016
8,81920,81920,6000912,7.3253320313
8,163840,163840,12115836,7.3949194336
32,384,384,36072,9.3937500000
32,1152,1152,83080,7.2118055556
32,10240,10240,842260,8.2251953125
32,15360,15360,1395898,9.0878776042
32,40960,40960,3345612,8.1679980469
32,81920,81920,9036406,11.0307690430
32,163840,163840,28055722,17.1238537598
128,384,384,28150,7.3307291667
128,1152,1152,89908,7.8045138889
128,10240,10240,921930,9.0032226562
128,15360,15360,1592290,10.3664713542
128,40960,40960,7165512,17.4939257812
128,81920,81920,15436048,18.8428320313
128,163840,163840,31065940,18.9611450195
1024,384,384,36698,9.5567708333
1024,1152,1152,112240,9.7430555556
1024,10240,10240,2436638,23.7952929688
1024,15360,15360,3837486,24.9836328125
1024,40960,40960,10519324,25.6819433594
1024,81920,81920,21057574,25.7050463867
1024,163840,163840,42242548,25.7828051758
1,384,3065,217196,7.0863295269
1,1152,9209,652534,7.0858290802
1,10240,81913,5814152,7.0979600308
1,15360,122873,8746326,7.1181838158
1,40960,327673,23375198,7.1336967037
1,81920,655353,46674768,7.1220804666
1,163840,1310713,93587764,7.1402178814
8,384,384,27492,7.1593750000
8,1152,1152,83150,7.2178819444
8,10240,10240,745156,7.2769140625
8,15360,15360,1131130,7.3641276042
8,40960,40960,3037582,7.4159716797
8,81920,81920,6008262,7.3343041992
8,163840,163840,11998918,7.3235583496
32,384,384,28030,7.2994791667
32,1152,1152,83190,7.2213541667
32,10240,10240,867042,8.4672070313
32,15360,15360,1286864,8.3780208333
32,40960,40960,3302984,8.0639257812
32,81920,81920,9040776,11.0361035156
32,163840,163840,27938794,17.0524865723
128,384,384,28532,7.4302083333
128,1152,1152,90158,7.8262152778
128,10240,10240,909622,8.8830273437
128,15360,15360,1306602,8.5065234375
128,40960,40960,7379382,18.0160693359
128,81920,81920,15882390,19.3876831055
128,163840,163840,31916412,19.4802319336
1024,384,384,40822,10.6307291667
1024,1152,1152,109210,9.4800347222
1024,10240,10240,2427188,23.7030078125
1024,15360,15360,3957454,25.7646744792
1024,40960,40960,10506570,25.6508056641
1024,81920,81920,21175302,25.8487573242
1024,163840,163840,42219240,25.7685791016
